county_clean,county_fips_full,year,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_rate,renter_rate,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,renter_occupied_hh_60_64,renter_occupied_hh_65_74,renter_occupied_hh_75_84,renter_occupied_hh_85_plus
Passaic,34031,2007,142090,88013,54077,0.6194172707438947,0.3805827292561053,193,6457,19410,21966,10316,8826,11308,6811,2726,3500,14713,17662,14074,4128,0,0,0,0
Salem,34033,2007,24236,19888,4348,0.8205974583264565,0.1794025416735435,135,2480,4052,4327,2364,1591,2712,1779,448,669,1206,1146,929,398,0,0,0,0
Somerset,34035,2007,107646,90834,16812,0.8438214146368653,0.15617858536313473,146,6817,21522,25338,10408,7977,11063,6213,1350,1062,5413,5239,4157,941,0,0,0,0
Sussex,34037,2007,52546,46162,6384,0.878506451490123,0.12149354850987706,289,4586,10306,13941,4932,4372,4729,2394,613,283,1557,1545,2055,944,0,0,0,0
Union,34039,2007,166993,109362,57631,0.6548897259166552,0.3451102740833448,284,7172,24209,29958,11501,9138,12681,10420,3999,2912,15431,18160,16579,4549,0,0,0,0
Warren,34041,2007,39524,32182,7342,0.8142394494484364,0.1857605505515636,115,3475,7196,8091,2936,3199,3349,3080,741,1067,1477,2905,1499,394,0,0,0,0
Atlantic,34001,2008,93669,73110,20559,0.780514364410851,0.21948563558914902,459,6440,15317,19872,6587,5942,9820,6124,2549,1499,6793,5348,4678,2241,0,0,0,0
Bergen,34003,2008,309900,225394,84506,0.7273120361406905,0.27268796385930943,388,13103,44258,59807,24239,23632,30956,20752,8259,4195,25253,26869,19851,8338,0,0,0,0
Burlington,34005,2008,158313,130118,28195,0.8219034444423389,0.1780965555576611,452,13566,27876,33424,13144,11999,16532,9942,3183,2120,9293,8544,6637,1601,0,0,0,0
Camden,34007,2008,178527,132436,46091,0.7418261663501879,0.25817383364981206,1415,14145,25574,35709,14897,11625,15211,9889,3971,5715,15067,12406,9228,3675,0,0,0,0
Cape May,34009,2008,45237,35975,9262,0.7952560956738952,0.20474390432610473,531,3841,5609,7506,3706,3007,5917,4228,1630,1609,2716,3120,1526,291,0,0,0,0
Cumberland,34011,2008,47386,35093,12293,0.7405773857257418,0.2594226142742582,186,3817,7196,8378,2991,4186,4194,2912,1233,791,5165,3135,1993,1209,0,0,0,0
Essex,34013,2008,246478,129621,116857,0.5258927774486972,0.4741072225513028,705,9573,27492,33821,14737,13126,16368,10159,3640,10888,33535,33258,29384,9792,0,0,0,0
Gloucester,34015,2008,97594,81322,16272,0.8332684386335225,0.16673156136647746,760,10211,17990,20803,8689,6699,9477,5547,1146,1927,4330,4859,4093,1063,0,0,0,0
Hudson,34017,2008,204723,82951,121772,0.40518652032258223,0.5948134796774178,102,9586,21269,19288,7913,7495,9250,5873,2175,8437,34122,39071,29600,10542,0,0,0,0
Hunterdon,34019,2008,45823,41231,4592,0.8997883159112237,0.10021168408877638,16,3781,10214,11174,5110,3436,4564,2352,584,438,887,759,2056,452,0,0,0,0
Mercer,34021,2008,118667,86375,32292,0.727877168884357,0.27212283111564295,305,8450,18156,21230,9734,8390,10425,7307,2378,2727,11284,8453,7513,2315,0,0,0,0
Middlesex,34023,2008,260318,183995,76323,0.7068085956407164,0.29319140435928365,474,13897,42999,47464,22203,15860,20857,14968,5273,6302,27512,21310,15699,5500,0,0,0,0
Monmouth,34025,2008,217084,175924,41160,0.810395975751322,0.18960402424867792,724,11946,35362,48454,22216,17590,22732,12253,4647,3924,13474,10471,10689,2602,0,0,0,0
Morris,34027,2008,168350,133595,34755,0.7935550935550936,0.20644490644490646,200,8320,29208,37276,13930,15521,17489,8925,2726,2092,11370,9110,8885,3298,0,0,0,0
Ocean,34029,2008,213503,181757,31746,0.8513088809056547,0.1486911190943453,1241,17952,28908,34644,14838,15159,26207,31999,10809,2610,11509,8472,6983,2172,0,0,0,0
Passaic,34031,2008,140260,89413,50847,0.6374803935548268,0.3625196064451732,482,6385,19017,22564,10423,8310,12609,6934,2689,2894,12243,17339,13507,4864,0,0,0,0
Salem,34033,2008,22489,17517,4972,0.7789141357997243,0.22108586420027568,82,2036,3455,4159,1901,1848,2264,1344,428,451,1797,1040,923,761,0,0,0,0
Somerset,34035,2008,106659,89003,17656,0.8344631020354588,0.1655368979645412,186,6122,21644,26126,9011,8298,10486,5404,1726,594,6404,4894,4355,1409,0,0,0,0
Sussex,34037,2008,53750,47097,6653,0.8762232558139534,0.1237767441860465,184,4271,10844,12488,6946,4188,5353,2290,533,538,1266,1656,2533,660,0,0,0,0
Union,34039,2008,166763,110906,55857,0.6650516001750988,0.3349483998249012,558,7625,21709,28567,13704,10786,13016,10362,4579,3427,12635,19151,15042,5602,0,0,0,0
Warren,34041,2008,39923,31141,8782,0.7800265511108885,0.21997344888911155,101,2535,6925,9749,3027,2268,3428,2318,790,480,2587,2651,2247,817,0,0,0,0
Atlantic,34001,2009,93876,71846,22030,0.7653287315181729,0.2346712684818271,165,6117,13186,19467,7619,6950,10632,5673,2037,2179,6512,5656,5593,2090,0,0,0,0
Bergen,34003,2009,309815,221717,88098,0.7156432064296435,0.2843567935703565,1563,14459,42218,58791,23148,22848,29058,20107,9525,5089,28399,24382,20514,9714,0,0,0,0
Burlington,34005,2009,159896,129454,30442,0.8096137489368089,0.19038625106319107,975,10957,26387,32990,14103,12403,16367,11151,4121,3257,9036,8101,6548,3500,0,0,0,0
Camden,34007,2009,179302,133895,45407,0.7467568683004093,0.2532431316995906,748,15079,25702,33390,14416,12328,16498,12054,3680,4133,15299,11270,11567,3138,0,0,0,0
Cape May,34009,2009,43796,31715,12081,0.7241528906749475,0.2758471093250525,299,1754,3173,7596,3673,3360,7007,3962,891,3806,2656,2794,1786,1039,0,0,0,0
Cumberland,34011,2009,47454,34941,12513,0.7363130610696674,0.2636869389303325,203,4175,5792,8380,3745,3664,4665,3101,1216,980,3820,4099,2728,886,0,0,0,0
Essex,34013,2009,242056,127336,114720,0.5260600852695244,0.4739399147304756,592,9297,26181,30254,16619,13583,16039,10988,3783,7980,35134,33106,27243,11257,0,0,0,0
Gloucester,34015,2009,96860,82227,14633,0.8489262853603139,0.15107371463968614,564,10038,17638,21479,9009,7218,8765,5749,1767,1348,4862,3868,3725,830,0,0,0,0
Hudson,34017,2009,203426,77368,126058,0.3803250321984407,0.6196749678015593,222,11409,18520,17123,7125,6850,8300,6349,1470,6960,47343,32956,28198,10601,0,0,0,0
Hunterdon,34019,2009,44957,39498,5459,0.8785728585092422,0.12142714149075784,71,1743,8360,12510,4667,3933,4501,2661,1052,237,1228,1763,1758,473,0,0,0,0
Mercer,34021,2009,116280,83419,32861,0.7173976608187135,0.2826023391812866,89,7180,16384,21473,8802,9357,10743,7204,2187,2391,9969,8414,10070,2017,0,0,0,0
Middlesex,34023,2009,255681,181798,73883,0.7110344530880277,0.28896554691197235,240,15064,37289,49660,19179,15742,23208,16013,5403,4219,26866,20753,15332,6713,0,0,0,0
Monmouth,34025,2009,216274,172360,43914,0.796952014574105,0.20304798542589492,560,9334,34563,49597,20689,17804,22416,12979,4418,3567,12650,12497,11264,3936,0,0,0,0
Morris,34027,2009,164990,134254,30736,0.8137099218134433,0.18629007818655677,219,8725,29583,37481,14360,13952,16664,9284,3986,2352,8773,8924,7936,2751,0,0,0,0
Ocean,34029,2009,207441,177786,29655,0.8570436895309992,0.1429563104690008,319,14046,26717,34086,16814,17125,33878,26536,8265,2261,7895,7786,9306,2407,0,0,0,0
Passaic,34031,2009,142740,88986,53754,0.6234131988230349,0.37658680117696514,393,6564,16187,22792,10757,8111,12652,8805,2725,2363,14763,18000,13899,4729,0,0,0,0
Salem,34033,2009,23949,19049,4900,0.7953985552632677,0.20460144473673222,88,2125,3615,3884,2016,2154,2592,1706,869,336,1611,1208,1382,363,0,0,0,0
Somerset,34035,2009,109422,88347,21075,0.8073970499533915,0.19260295004660855,192,6816,20318,25149,10014,8294,10620,5059,1885,1011,6633,6904,4550,1977,0,0,0,0
Sussex,34037,2009,53813,46913,6900,0.8717781948599781,0.12822180514002193,152,4471,9565,14263,4663,5125,5494,2499,681,626,1429,1780,2149,916,0,0,0,0
Union,34039,2009,170411,113582,56829,0.6665180064667187,0.3334819935332813,206,8481,21509,29568,12849,11203,14550,10285,4931,3480,16437,16677,14696,5539,0,0,0,0
Warren,34041,2009,38861,30060,8801,0.7735261573299709,0.22647384267002907,70,2633,5279,9058,2644,3195,3875,2347,959,739,1969,3623,1819,651,0,0,0,0
Atlantic,34001,2010,92993,73515,19478,0.7905433742324691,0.20945662576753088,419,6391,13499,19945,8036,7150,9828,6402,1845,2231,4280,5247,5116,2604,0,0,0,0
Bergen,34003,2010,307017,220179,86838,0.717155727533003,0.28284427246699695,437,13664,41040,53508,27610,21387,31315,22382,8836,5543,24801,24039,23234,9221,0,0,0,0
Burlington,34005,2010,155930,129352,26578,0.8295517219265055,0.17044827807349452,379,11305,22884,35988,13094,13714,17218,11323,3447,1899,8691,7394,7188,1406,0,0,0,0
Camden,34007,2010,174773,127365,47408,0.7287452867433757,0.2712547132566243,1479,12602,25408,30404,14465,14154,16247,9860,2746,3681,15373,11761,12054,4539,0,0,0,0
Cape May,34009,2010,40002,32537,7465,0.8133843307834608,0.18661566921653916,568,1863,3976,6507,3835,4328,6336,4082,1042,897,2388,1455,1863,862,0,0,0,0
Cumberland,34011,2010,46555,33219,13336,0.7135431210396306,0.2864568789603695,354,2836,5026,8349,3640,3925,5007,2818,1264,1686,3596,3851,2311,1892,0,0,0,0
Essex,34013,2010,245043,127663,117380,0.5209820317250442,0.4790179682749558,701,8471,26045,32130,15571,11782,17786,10980,4197,6824,34652,34347,31046,10511,0,0,0,0
