Year,CBSA,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,renter_occupied_hh_60_64,renter_occupied_hh_65_74,renter_occupied_hh_75_84,renter_occupied_hh_85_plus,owner_rate,renter_rate
2014,47220,50593,31321,19272,176,2023,5074,7005,3886,3445,5753,2998,961,1895,4128,4369,2704,1672,1192,1747,1161,404,0.6190777380269998,0.3809222619730002
2015,0,38708,29608,9100,102,1864,2822,4713,3431,4341,7056,3679,1600,0,1716,1302,2460,734,679,793,1297,119,0.7649064792807688,0.23509352071923117
2015,10900,41813,29009,12804,92,2257,3730,8295,3655,2783,4736,2297,1164,573,2056,2807,1982,1383,1039,1717,985,262,0.6937794465835984,0.3062205534164016
2015,12100,101813,69152,32661,302,4869,9361,16781,8036,8878,12047,6630,2248,1737,7217,6975,4940,2939,3022,3165,1331,1335,0.6792059953051182,0.3207940046948818
2015,35620,2352043,1425989,926054,4529,86269,225060,344050,182240,157879,239240,126045,60677,33668,213452,213597,178463,76078,59978,76665,45390,28763,0.6062767559946821,0.39372324400531794
2015,36140,38708,29608,9100,102,1864,2822,4713,3431,4341,7056,3679,1600,0,1716,1302,2460,734,679,793,1297,119,0.7649064792807688,0.23509352071923117
2015,37980,475241,341915,133326,1395,26051,55507,82043,44651,35223,56406,29358,11281,6965,32432,25318,25993,9882,9515,12838,5963,4420,0.7194560233649875,0.28054397663501257
2015,45940,127965,80484,47481,250,4197,12956,21798,9720,9138,13232,6438,2755,1879,11537,10462,7340,4824,3872,3615,2174,1778,0.6289532293986637,0.3710467706013363
2015,47220,50380,32877,17503,266,2125,6005,7713,3971,3897,5168,2598,1134,1178,3987,3676,2373,1997,540,1382,1500,870,0.6525803890432711,0.34741961095672885
2016,0,38895,29822,9073,116,1763,2755,5406,3084,4543,7327,3331,1497,422,1678,1554,2246,541,285,1090,527,730,0.7667309422804988,0.2332690577195012
2016,10900,40512,29569,10943,92,2346,3960,7598,4377,2444,5380,2385,987,885,1677,2745,1844,1093,659,739,941,360,0.7298825039494471,0.2701174960505529
2016,12100,96777,65459,31318,641,4513,7886,14626,9129,7601,13044,5826,2193,1517,5934,6866,5421,2709,1977,4092,2205,597,0.6763900513551774,0.3236099486448226
2016,35620,2358211,1433133,925078,4137,89222,219305,338883,177299,164938,245563,128755,65031,36557,206862,213082,172805,76974,60880,84858,47385,25675,0.6077204287487422,0.39227957125125784
2016,36140,38895,29822,9073,116,1763,2755,5406,3084,4543,7327,3331,1497,422,1678,1554,2246,541,285,1090,527,730,0.7667309422804988,0.2332690577195012
2016,37980,481005,350231,130774,1772,29286,54726,77869,45518,38899,59727,29541,12893,9041,29435,25517,24310,11660,7358,12428,6761,4264,0.7281234082805792,0.2718765917194208
2016,45940,128332,80834,47498,104,4113,13262,19408,9491,9915,14834,6335,3372,1561,11216,9278,9993,4002,3301,4955,1821,1371,0.6298818689025341,0.37011813109746594
2016,47220,50787,30879,19908,19,1915,4590,6780,4245,3320,5846,3223,941,1337,5080,3645,3069,1724,1266,2836,726,225,0.6080099237993974,0.3919900762006025
2017,0,39526,30613,8913,137,2358,2486,4976,2837,4638,7677,3939,1565,157,1801,1403,2073,1007,631,1049,407,385,0.7745028588777008,0.22549714112229924
2017,10900,41366,29866,11500,24,2490,4468,6895,3772,3581,4782,2780,1074,647,2015,1200,2513,1048,1264,1858,330,625,0.7219939080404196,0.2780060919595803
2017,12100,97618,62964,34654,381,3156,7926,13600,8959,7750,12488,5871,2833,1659,5857,7540,6797,3595,2020,4291,2290,605,0.6450039951648262,0.35499600483517385
2017,35620,2375934,1464518,911416,3966,91311,229521,331604,182811,171182,254720,137996,61407,32197,203464,204290,175373,78426,61584,84932,46037,25113,0.616396751761623,0.383603248238377
2017,36140,39526,30613,8913,137,2358,2486,4976,2837,4638,7677,3939,1565,157,1801,1403,2073,1007,631,1049,407,385,0.7745028588777008,0.22549714112229924
2017,37980,484901,350668,134233,901,30106,54114,79568,43308,40433,60451,31116,10671,7844,32087,27476,22079,9289,10798,13078,7572,4010,0.723174421170507,0.27682557882949305
2017,45940,128757,81741,47016,209,5058,12623,20155,10082,10272,13482,7145,2715,2376,10801,10858,7591,2998,4088,4327,2321,1656,0.6348470374426245,0.3651529625573755
2017,47220,50696,33559,17137,210,2304,4755,7596,3235,4307,6140,3579,1433,1597,3831,3997,2521,1573,984,1600,308,726,0.6619654410604386,0.3380345589395613
2018,0,39208,31531,7677,180,2801,2843,5191,3639,4084,7296,4330,1167,242,1588,616,1831,691,622,813,730,544,0.804198122832075,0.1958018771679249
2018,10900,41742,30249,11493,53,2644,4300,6155,3016,4532,5167,3214,1168,144,2363,1395,2543,1742,613,1832,364,497,0.7246658042259595,0.27533419577404056
2018,12100,96981,66859,30122,300,4345,8159,14865,9785,6969,13176,6896,2364,1884,4442,5795,5826,3301,2955,3757,1601,561,0.6894030789536094,0.31059692104639053
2018,35620,2407718,1484476,923242,4524,101095,231865,324377,187463,172582,256629,142102,63839,31934,206573,197017,175305,77936,65093,90685,48353,30346,0.6165489480080308,0.38345105199196916
2018,36140,39208,31531,7677,180,2801,2843,5191,3639,4084,7296,4330,1167,242,1588,616,1831,691,622,813,730,544,0.804198122832075,0.1958018771679249
2018,37980,480904,348844,132060,1081,29827,50088,77080,44859,40912,62343,31295,11359,7236,30510,26908,20046,10562,11383,12697,7850,4868,0.725392178064645,0.2746078219353551
2018,45940,132980,83219,49761,469,4024,12269,18942,10373,10143,15214,8486,3299,2944,11550,10645,9178,4018,3359,4462,2744,861,0.6258008723116258,0.3741991276883742
2018,47220,50034,33770,16264,240,2926,5055,5401,4621,3581,6813,3976,1157,1249,3883,4011,2319,1295,895,1753,733,126,0.6749410400927369,0.3250589599072631
2019,0,40939,30533,10406,619,2108,3617,3893,3532,3737,6955,4604,1468,629,1906,1477,1567,897,1439,1310,587,594,0.7458169471652947,0.25418305283470527
2019,10900,42397,29647,12750,0,1726,3549,6760,3885,3360,5795,3115,1457,266,2387,2021,2552,865,1479,1818,1014,348,0.699271174847277,0.3007288251527231
2019,12100,101975,67659,34316,541,4563,8985,12320,7637,9366,14591,7150,2506,2206,6094,6716,5877,3802,3352,3494,2037,738,0.663486148565825,0.33651385143417506
2019,35620,2429779,1485825,943954,5227,102752,224605,318792,180208,180577,264903,147360,61401,31628,215739,210853,164820,74378,68042,94424,54003,30067,0.6115062316367044,0.3884937683632956
2019,36140,40939,30533,10406,619,2108,3617,3893,3532,3737,6955,4604,1468,629,1906,1477,1567,897,1439,1310,587,594,0.7458169471652947,0.25418305283470527
2019,37980,488963,352479,136484,2120,30467,57868,70834,41185,42731,60988,34188,12098,5991,31187,26428,24199,11412,10362,14583,7586,4736,0.7208704953135513,0.27912950468644865
2019,45940,130851,81851,49000,184,4705,12891,17273,10469,10746,14295,7777,3511,3418,11497,8725,9313,3206,3241,4798,3101,1701,0.6255282726154175,0.37447172738458245
2019,47220,51360,33804,17556,624,2325,5577,6591,4173,4661,5720,2588,1545,279,5898,3004,2965,1074,654,2157,1031,494,0.6581775700934579,0.34182242990654205
2020,0,44899,34349,10550,1047,2828,4210,4932,3316,4458,7488,4592,1478,1080,1770,1618,1350,838,1386,1218,786,504,0.7650281743468674,0.2349718256531326
2020,10900,44375,31834,12541,198,2450,3922,7211,3762,4062,5484,3602,1143,614,2328,1990,2033,1379,1321,1764,696,416,0.7173859154929577,0.28261408450704223
2020,12100,107137,71428,35709,765,5508,9710,12518,7912,9940,15172,7240,2663,1906,5952,7073,5790,3802,3254,4616,2522,794,0.6666977794786115,0.3333022205213885
2020,35620,2503937,1544598,959339,6068,112445,242063,321933,185363,185467,281391,149840,60028,32066,218769,212631,167913,76497,71768,99421,52123,28151,0.6168677566568168,0.38313224334318313
2020,36140,44899,34349,10550,1047,2828,4210,4932,3316,4458,7488,4592,1478,1080,1770,1618,1350,838,1386,1218,786,504,0.7650281743468674,0.2349718256531326
2020,37980,501732,364315,137417,2155,33139,60890,72281,41663,42948,64855,34004,12380,6704,32705,27020,21458,11435,10275,15906,7357,4557,0.7261147385456778,0.27388526145432224
2020,45940,137411,86337,51074,420,5501,13316,18346,10060,11864,15430,8184,3216,2763,10964,10492,9452,4185,3525,5281,2892,1520,0.6283121438603896,0.37168785613961036
2020,47220,52623,34536,18087,422,3452,5380,6482,4074,4058,6246,2964,1458,773,4565,3112,3300,1298,1044,2556,1016,423,0.656290975428995,0.34370902457100505
2021,0,48860,38163,10697,1475,3548,4802,5970,3100,5178,8022,4579,1489,1532,1633,1760,1132,779,1334,1127,986,414,0.7810683585755219,0.2189316414244781
2021,10900,46353,34019,12334,396,3175,4295,7662,3638,4763,5173,4088,829,963,2269,1959,1514,1893,1163,1711,377,485,0.7339115051884452,0.26608849481155483
2021,12100,112299,75198,37101,989,6454,10435,12716,8187,10513,15754,7330,2820,1606,5809,7430,5704,3803,3155,5738,3006,850,0.6696230598669624,0.3303769401330377
2021,35620,2578088,1603365,974723,6905,122139,259522,325072,190519,190358,297879,152318,58653,32500,221801,214410,171010,78616,75493,104417,50244,26232,0.6219201982244206,0.3780798017755794
2021,36140,48860,38163,10697,1475,3548,4802,5970,3100,5178,8022,4579,1489,1532,1633,1760,1132,779,1334,1127,986,414,0.7810683585755219,0.2189316414244781
2021,37980,514492,376142,138350,2190,35811,63911,73727,42138,43165,68721,33821,12658,7419,34223,27611,18715,11457,10186,17231,7128,4380,0.7310939723066636,0.2689060276933363
2021,45940,143970,90821,53149,656,6297,13742,19418,9650,12981,16565,8590,2922,2108,10431,12258,9592,5164,3809,5764,2683,1340,0.6308328123914705,0.36916718760852957
2021,47220,53883,35266,18617,220,4579,5183,6373,3974,3456,6771,3340,1370,1267,3232,3220,3636,1522,1433,2954,1001,352,0.6544921403782269,0.3455078596217731
2022,0,48563,37046,11517,0,3538,3777,5002,3687,4790,8950,5524,1778,2506,2575,1859,1113,251,1029,1130,844,210,0.762844140600869,0.23715585939913103
2022,10900,45507,33959,11548,0,3842,5096,6888,4072,3598,6781,2761,921,562,1650,2480,1595,745,1160,1474,1562,320,0.7462368426835432,0.2537631573164568
2022,12100,106972,74931,32041,1269,5742,8835,13549,8088,11337,14130,8887,3094,64,6948,6996,5559,2158,3244,4880,1216,976,0.700473020977452,0.29952697902254793
2022,35620,2599120,1618990,980130,6654,129204,258180,324610,179785,191108,295682,173505,60262,40747,225236,205954,166907,82208,71992,103604,57638,25844,0.6228992889901197,0.37710071100988024
2022,36140,48563,37046,11517,0,3538,3777,5002,3687,4790,8950,5524,1778,2506,2575,1859,1113,251,1029,1130,844,210,0.762844140600869,0.23715585939913103
2022,37980,516866,378919,137947,1748,34980,63055,75588,39371,44261,70590,36529,12797,9799,31376,27270,17671,9278,12689,15543,9266,5055,0.7331087748081708,0.26689122519182923
2022,45940,144989,92391,52598,451,6600,16883,19011,9647,10822,16620,9136,3221,3480,11606,9117,8233,4631,4345,6534,3025,1627,0.6372276517528916,0.3627723482471084
2022,47220,54961,36759,18202,686,4490,5695,6322,4681,3851,6178,3478,1378,822,3584,4228,1949,799,1641,2809,1443,927,0.6688197085205874,0.3311802914794127
2023,0,47516,39371,8145,2191,3501,3849,5147,3417,4371,9541,6141,1213,1292,1606,873,1301,544,401,871,922,335,0.828584055896961,0.17141594410303898
2023,10900,45263,34186,11077,133,2558,5528,5814,5197,3169,7296,3871,620,240,2541,2319,1416,802,342,1859,1299,259,0.7552747277025385,0.2447252722974615
2023,12100,111158,74940,36218,1076,6258,10798,11599,7229,11298,15702,8525,2455,986,7286,7474,6111,2459,2736,4959,3223,984,0.6741754979398694,0.32582450206013064
2023,35620,2614035,1603101,1010934,6760,117838,264539,316408,175104,192302,294458,175489,60203,43624,232783,211153,168258,76127,77314,111943,63036,26696,0.61326684608278,0.3867331539172199
2023,36140,47516,39371,8145,2191,3501,3849,5147,3417,4371,9541,6141,1213,1292,1606,873,1301,544,401,871,922,335,0.828584055896961,0.17141594410303898
2023,37980,519745,379581,140164,2724,35421,68916,71741,39876,41801,71466,37849,9787,6455,29864,28778,19680,12862,10772,16929,10146,4678,0.7303216000153921,0.26967839998460785
2023,45940,146258,88183,58075,580,5828,14998,19714,9663,10484,15063,8217,3636,1787,14096,10821,9127,3668,5013,8651,3294,1618,0.6029277031000013,0.3970722968999986
2023,47220,54482,36090,18392,297,4082,4583,7204,3526,4655,6618,3996,1129,71,2839,3732,3265,1356,1443,4431,796,459,0.6624206159832605,0.3375793840167395
