State,County,Sub/Urb,HH_Size,Tenure,HH_Income,Supp_Weight,Relationship,Weight,Age,Education,Marital,Person_Income,Year
34,35620,2,3,2,23120,157303,2,4258.76,28,37,7,240,2005
34,35620,2,4,2,34000,213737,1,3193.51,47,39,1,0,2005
34,35620,2,6,1,147875,175918,1,3294.86,38,44,1,133075,2005
34,35620,2,4,1,162685,315205,1,3592.02,50,44,1,161000,2005
34,35620,2,7,1,428150,147025,1,3580.09,46,43,1,423150,2005
34,35620,2,2,1,51491,304828,1,3153.27,75,39,1,32946,2005
34,35620,2,1,1,23899,304828,2,3153.27,79,39,4,23899,2005
34,35620,2,2,1,95100,285102,1,3556.1,34,42,1,45050,2005
34,35620,2,4,3,112200,329433,1,3667.09,55,39,1,200,2005
34,35620,2,6,2,12766,144853,1,0.0,36,37,5,12016,2005
34,35620,1,2,2,68816,172257,1,3271.52,46,39,5,66416,2005
34,35620,2,5,1,95120,168109,1,3444.85,41,39,1,0,2005
34,35620,2,4,2,15500,151057,1,2871.2,20,40,7,0,2005
34,35620,2,1,2,35005,230978,2,2206.07,30,43,7,35005,2005
34,35620,2,1,1,52438,147612,2,2736.0,44,43,5,52438,2005
34,35620,2,4,1,493150,228859,1,2262.19,45,44,1,423000,2005
34,35620,2,4,2,15669,122058,1,2238.14,50,37,1,0,2005
34,35620,2,3,3,1188,252990,1,3069.66,25,40,6,1188,2005
34,35620,2,1,1,17966,249321,2,2755.63,55,39,5,17966,2005
34,35620,2,4,1,41134,253255,1,2794.0,60,38,1,23000,2005
34,35620,2,2,1,26340,131473,1,2435.74,45,43,1,17990,2005
34,35620,2,3,1,97282,131473,1,2667.83,47,36,1,26016,2005
34,35620,2,5,1,42216,129436,1,2625.44,39,39,1,9008,2005
34,35620,2,1,1,36128,219249,2,2190.96,85,43,4,36128,2005
34,35620,2,1,1,69325,245888,2,2448.44,34,43,6,69325,2005
34,35620,2,2,1,68983,227154,2,2349.77,80,39,4,9464,2005
34,35620,2,1,1,45895,224241,2,2322.23,51,43,5,45895,2005
34,35620,2,4,1,180177,222684,1,2238.14,54,44,1,121756,2005
34,35620,2,5,1,78292,122058,1,2318.13,47,45,1,12146,2005
34,35620,2,2,1,92535,240699,1,2363.67,76,43,1,30380,2005
34,35620,2,4,1,90000,125273,1,2567.05,42,39,1,40000,2005
34,35620,2,1,2,27867,185724,2,2748.67,20,42,7,27867,2005
34,35620,2,2,2,28158,246512,1,2755.63,55,36,1,22079,2005
34,35620,1,4,1,150003,83061,1,1878.98,37,39,1,0,2005
34,35620,1,3,2,62339,98771,1,3263.12,65,39,1,12329,2005
34,35620,1,2,1,129904,98751,1,2394.25,46,36,1,-98,2005
34,35620,1,3,1,86006,114817,1,2439.61,45,44,1,16004,2005
34,35620,2,1,2,10200,102663,2,0.0,77,34,7,10200,2005
34,35620,2,1,2,8887,108980,2,0.0,85,34,4,8887,2005
34,35620,2,2,1,193473,227439,1,2307.94,51,39,1,85107,2005
34,35620,2,5,1,103199,131473,1,2435.74,45,43,1,6689,2005
34,35620,2,4,1,110140,147609,1,2665.99,40,43,1,65070,2005
34,35620,2,2,1,195550,230169,1,2502.33,34,43,1,140525,2005
34,35620,2,1,1,12246,227154,2,2349.77,77,36,4,12246,2005
34,35620,2,4,1,69388,121827,1,2102.2,67,44,3,44720,2005
34,35620,2,3,1,90308,118765,1,2238.14,52,39,1,41134,2005
34,35620,2,1,1,9655,188985,2,1855.24,74,39,4,9655,2005
34,35620,2,1,2,46023,175185,2,2652.5,37,43,7,46023,2005
34,35620,2,1,2,25500,232864,2,2745.92,32,40,7,25500,2005
34,35620,2,3,2,0,304613,2,3245.66,36,36,7,0,2005
34,35620,2,4,1,215282,116330,1,3309.23,53,44,1,147782,2005
34,35620,2,2,1,77800,253255,1,2548.48,54,39,1,24000,2005
34,35620,2,4,1,108000,161835,1,2706.39,44,39,1,53000,2005
34,35620,2,2,1,233000,114069,1,4089.86,38,44,1,153000,2005
34,35620,2,1,1,108400,238161,2,2528.36,57,43,7,108400,2005
34,35620,2,2,2,20078,125859,1,2475.21,70,39,1,9439,2005
34,35620,2,1,2,8059,163538,2,0.0,72,34,5,8059,2005
34,35620,2,4,2,25040,117844,1,0.0,35,39,7,25040,2005
34,35620,4,2,1,138399,228859,1,2238.14,54,43,1,128000,2005
34,35620,4,4,1,200923,135069,1,2548.48,50,45,1,126843,2005
34,35620,4,2,1,112252,255398,1,2560.6,59,39,1,14749,2005
34,35620,4,3,2,15600,121991,1,0.0,33,36,1,0,2005
34,35620,2,1,1,16676,227154,2,2349.77,78,37,4,16676,2005
34,35620,2,4,1,104612,123837,1,2440.79,41,42,1,101516,2005
34,35620,2,3,1,147840,123837,1,2380.48,43,44,1,87745,2005
34,35620,2,2,1,104200,113812,1,0.0,75,44,1,59050,2005
34,35620,2,1,1,120000,233242,2,2355.28,46,39,3,120000,2005
34,35620,2,2,1,220000,256483,2,2632.47,28,39,7,70000,2005
34,35620,2,2,1,70000,233242,2,2355.28,47,39,5,70000,2005
34,35620,2,1,1,8675,227154,2,2349.77,80,39,5,8675,2005
34,35620,2,5,1,80063,116762,1,2355.28,46,41,1,41486,2005
34,35620,2,3,1,56748,224241,1,2244.02,58,39,1,34253,2005
34,35620,2,4,1,38339,227024,1,2154.0,63,39,7,7675,2005
34,35620,2,1,1,18035,240699,2,2363.67,80,39,3,18035,2005
34,35620,2,2,1,26662,240699,1,2363.67,80,39,5,13863,2005
34,35620,2,1,1,90000,249321,2,2755.63,57,43,7,90000,2005
34,35620,1,1,2,32071,254007,2,2502.35,73,39,5,32071,2005
34,35620,2,3,1,183775,119595,1,2322.23,50,43,1,65508,2005
34,35620,2,3,1,231427,228426,1,2102.2,66,39,4,92343,2005
34,35620,2,1,1,102605,212458,2,2187.15,72,43,4,102605,2005
34,35620,2,1,1,68840,129289,2,2141.69,51,39,5,68840,2005
34,35620,2,2,1,21398,120490,1,2367.3,71,39,1,9499,2005
34,35620,2,4,1,41400,122757,1,2745.92,33,43,1,41000,2005
34,35620,2,3,1,41500,125273,1,2667.83,45,39,1,45000,2005
34,35620,2,2,1,10562,238955,1,2598.83,69,39,1,2071,2005
34,35620,2,2,1,75114,271081,1,2735.72,80,39,1,7242,2005
34,35620,2,2,1,50044,250767,1,2657.79,64,39,1,23544,2005
34,35620,2,2,1,65098,254007,1,2502.35,70,39,1,6897,2005
34,35620,2,1,2,29801,151605,2,2606.96,48,40,5,29801,2005
34,35620,2,1,2,11443,271081,2,2735.72,85,40,4,11443,2005
34,35620,2,3,1,103688,113309,1,2669.05,38,40,1,64650,2005
34,35620,2,2,2,16734,105276,1,1757.77,66,40,5,16734,2005
34,35620,2,8,1,137999,99843,1,2511.17,51,39,1,30000,2005
34,35620,2,2,1,43484,115658,1,0.0,40,39,1,3242,2005
34,35620,2,3,1,52800,126016,1,0.0,26,42,1,19800,2005
34,35620,2,1,1,13460,227154,2,2349.77,80,39,4,13460,2005
34,35620,2,1,1,62060,224241,2,2322.23,53,39,5,62060,2005
34,35620,2,3,1,144770,240137,1,2244.02,57,46,1,69385,2005
34,35620,2,4,1,100168,116762,1,2307.94,50,43,1,100084,2005
34,35620,2,2,1,179642,233085,1,2211.76,64,43,1,11501,2005
34,35620,2,1,1,98570,225563,2,2262.19,47,43,7,98570,2005
34,35620,2,1,1,5150,239924,2,2321.87,58,42,7,5150,2005
34,35620,2,2,1,27506,188985,1,2137.6,77,39,1,12691,2005
34,35620,2,5,1,79000,147612,1,2736.0,40,40,1,32000,2005
34,35620,2,3,1,110714,240699,1,2137.6,80,44,1,27715,2005
34,35620,2,3,1,67250,122757,1,2502.33,31,43,1,1125,2005
34,35620,2,4,1,46808,129436,1,2625.44,38,43,1,7500,2005
34,35620,2,3,1,73250,253255,1,2548.48,52,44,1,57030,2005
34,35620,2,4,1,204613,131473,1,2676.73,50,39,1,137713,2005
34,35620,2,2,2,28200,246512,2,2676.73,53,43,6,200,2005
34,35620,2,4,1,150000,121376,1,2892.54,45,43,1,0,2005
34,35620,2,2,1,79136,245489,1,2732.67,55,39,1,15000,2005
34,35620,2,5,1,79300,114817,1,2439.61,49,39,1,30000,2005
34,35620,2,2,1,38680,224241,1,2244.02,55,40,1,13680,2005
34,35620,2,4,1,49400,116762,1,2070.02,44,40,1,16400,2005
34,35620,2,4,2,26794,129436,1,2625.44,35,39,1,3794,2005
34,35620,2,4,1,62515,156387,1,2363.3,50,37,7,10515,2005
34,35620,2,3,2,0,144848,1,2273.28,54,39,7,0,2005
