cbsa_code,cbsa_name,year,age_group,owner_units_estimated,renter_units_estimated,total_age_group_units,age_group_share_of_total_units,owner_rate_within_age_group,renter_rate_within_age_group,owner_units_cps,renter_units_cps,total_units_cps,avg_hh_income_cps,avg_person_income_cps,avg_hh_size_cps,avg_age_cps,avg_education_cps,married_share_cps,cps_records,owner_rate_cps,renter_rate_cps,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,annual_change_pct,hpi
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2009,75+,41097.0,0.0,41097.0,0.08933994482692655,1.0,0.0,3993886.0,560508.0,4554394.0,67417.16229469827,31435.034288206072,2.218902888068094,81.02585547056316,40.63340281934325,0.7724035294267471,18.0,0.8769302787593696,0.12306972124063048,736.0,842.0,1005.0,1203.0,1431.0,-7.8100000000000005,573.6575
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010,15-34,37492.0,35988.0,73480.0,0.16216061139052504,0.5102340772999455,0.4897659227000544,4859206.0,6262012.0,11121218.0,53209.41314017943,26640.237987242046,3.156138653158314,27.767744144571214,40.0791960017329,0.5138786057426443,54.0,0.4369310987339696,0.5630689012660304,803.0,915.0,1095.0,1339.0,1615.0,-4.922499999999999,545.8325
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010,35-44,68768.0,25769.0,94537.0,0.20863061675321265,0.7274188941895766,0.27258110581042344,11678022.0,2769418.0,14447440.0,129410.99068167094,50298.08331372202,4.08286395375236,40.402179348036746,40.93488839545276,0.8554589602033301,84.0,0.8083108149263815,0.19168918507361857,803.0,915.0,1095.0,1339.0,1615.0,-4.922499999999999,545.8325
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010,45-54,90993.0,25435.0,116428.0,0.2569411494689174,0.7815388050984299,0.21846119490157007,17457566.0,1789202.0,19246768.0,126146.799937735,57159.10978508184,3.645857320044591,48.763245652464875,41.089757615408466,0.7539118256114481,96.0,0.907038833740813,0.092961166259187,803.0,915.0,1095.0,1339.0,1615.0,-4.922499999999999,545.8325
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010,55-64,75998.0,7953.0,83951.0,0.18526871920040783,0.9052661671689438,0.09473383283105621,10410454.0,891970.0,11302424.0,111011.24951284786,68131.6658631812,2.483178298743703,60.067944893944876,40.97025346067357,0.9161551539740501,48.0,0.9210815308291389,0.07891846917086105,803.0,915.0,1095.0,1339.0,1615.0,-4.922499999999999,545.8325
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010,65-74,47690.0,0.0,47690.0,0.10524550295609879,1.0,0.0,5700016.0,0.0,5700016.0,94296.29759741026,64424.71519518542,2.22472989549503,68.95103382165945,38.75906839559749,0.8837799753544552,24.0,1.0,0.0,803.0,915.0,1095.0,1339.0,1615.0,-4.922499999999999,545.8325
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010,75+,37045.0,0.0,37045.0,0.08175340023083832,1.0,0.0,4442804.0,1146716.0,5589520.0,106209.70344752322,81485.66969042065,2.0671377864288885,79.54228377391976,41.02520287967482,0.7523143311053543,22.0,0.7948453534471654,0.20515464655283458,803.0,915.0,1095.0,1339.0,1615.0,-4.922499999999999,545.8325
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2011,15-34,31027.0,41271.0,72298.0,0.16070507690939806,0.4291543334532076,0.5708456665467925,6204942.0,4568188.0,10773130.0,66033.2885818699,37433.71739726523,3.0525466600700075,28.943099173592074,40.259206377348086,0.6117466325942414,54.0,0.5759646453723292,0.4240353546276709,789.0,900.0,1077.0,1317.0,1589.0,-5.37,516.095
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2011,35-44,64686.0,23643.0,88329.0,0.19633902373966391,0.7323302652582957,0.2676697347417043,10468150.0,2182554.0,12650704.0,98622.00092896016,47396.361137688466,3.677429493251917,39.52200462519714,40.81904058461885,0.8205586029046289,76.0,0.8274756883095201,0.17252431169047983,789.0,900.0,1077.0,1317.0,1589.0,-5.37,516.095
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2011,45-54,89711.0,23093.0,112804.0,0.25074242020094245,0.7952820821956669,0.20471791780433318,14178216.0,812088.0,14990304.0,123186.42826349619,59546.7410743638,3.490044097838176,49.320156682612975,41.38518151466441,0.7718569283184651,76.0,0.945825781785346,0.05417421821465395,789.0,900.0,1077.0,1317.0,1589.0,-5.37,516.095
