county_name,total_occupied_units,owner_occupied_total,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_total,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,state_fips,county_fips,year,county_clean,county_fips_full,owner_rate,renter_rate
"Atlantic County, New Jersey",100096,73515,419,6391,13499,19945,8036,7150,9828,6402,1845,26581,2231,4280,5247,5116,2604,34,001,2010,Atlantic,34001,0.7344449328644501,0.2655550671355499
"Bergen County, New Jersey",333002,220179,437,13664,41040,53508,27610,21387,31315,22382,8836,112823,5543,24801,24039,23234,9221,34,003,2010,Bergen,34003,0.6611942270616993,0.33880577293830066
"Burlington County, New Jersey",163961,129352,379,11305,22884,35988,13094,13714,17218,11323,3447,34609,1899,8691,7394,7188,1406,34,005,2010,Burlington,34005,0.7889193161788474,0.21108068382115258
"Camden County, New Jersey",189895,127365,1479,12602,25408,30404,14465,14154,16247,9860,2746,62530,3681,15373,11761,12054,4539,34,007,2010,Camden,34007,0.6707127623160167,0.32928723768398327
"Cape May County, New Jersey",42763,32537,568,1863,3976,6507,3835,4328,6336,4082,1042,10226,897,2388,1455,1863,862,34,009,2010,Cape May,34009,0.7608680401281481,0.23913195987185185
"Cumberland County, New Jersey",50237,33219,354,2836,5026,8349,3640,3925,5007,2818,1264,17018,1686,3596,3851,2311,1892,34,011,2010,Cumberland,34011,0.6612456954037861,0.338754304596214
"Essex County, New Jersey",275417,127663,701,8471,26045,32130,15571,11782,17786,10980,4197,147754,6824,34652,34347,31046,10511,34,013,2010,Essex,34013,0.4635262166097227,0.5364737833902773
"Gloucester County, New Jersey",104782,83913,599,9639,17670,20343,8742,8062,11591,5984,1283,20869,1788,3284,4428,5040,1357,34,015,2010,Gloucester,34015,0.8008341127292856,0.19916588727071444
"Hudson County, New Jersey",238692,80579,312,11693,16578,17612,8941,6618,9731,6133,2961,158113,6266,44344,36138,29650,10525,34,017,2010,Hudson,34017,0.3375856752635195,0.6624143247364804
"Hunterdon County, New Jersey",47550,40191,0,1772,7231,12695,5676,4075,5378,2811,553,7359,263,1978,1372,1845,419,34,019,2010,Hunterdon,34019,0.8452365930599369,0.1547634069400631
