county_fips,county,year,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_rate,renter_rate,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,annual_change_pct,hpi
34039,Union,2009,183648,113582,70066,0.6184766509844921,0.3815233490155079,869,1061,1213,1452,1606,-9.24,843.2
34041,Warren,2009,41533,30060,11473,0.7237618279440445,0.2762381720559555,790,884,1034,1238,1274,-9.31,640.4
34001,Atlantic,2010,100096,73515,26581,0.7344449328644501,0.2655550671355499,838,923,1101,1396,1566,-5.57,690.72
34003,Bergen,2010,333002,220179,112823,0.6611942270616993,0.3388057729383006,1099,1230,1379,1703,1961,-3.36,876.54
34005,Burlington,2010,163961,129352,34609,0.7889193161788474,0.2110806838211525,803,915,1095,1339,1615,-4.34,637.57
34007,Camden,2010,189895,127365,62530,0.6707127623160167,0.3292872376839832,803,915,1095,1339,1615,-4.43,520.0
34009,Cape May,2010,42763,32537,10226,0.7608680401281481,0.2391319598718518,741,756,951,1246,1283,-4.9,869.52
34011,Cumberland,2010,50237,33219,17018,0.6612456954037861,0.338754304596214,802,805,1014,1232,1298,-4.52,531.55
34013,Essex,2010,275417,127663,147754,0.4635262166097227,0.5364737833902773,916,1119,1279,1531,1693,-2.91,887.76
34015,Gloucester,2010,104782,83913,20869,0.8008341127292856,0.1991658872707144,803,915,1095,1339,1615,-4.74,575.17
34017,Hudson,2010,238692,80579,158113,0.3375856752635195,0.6624143247364804,995,1052,1227,1487,1601,-6.5,806.2
34019,Hunterdon,2010,47550,40191,7359,0.8452365930599369,0.1547634069400631,1155,1198,1409,1768,2085,-4.14,735.55
34021,Mercer,2010,131500,88812,42688,0.6753764258555133,0.3246235741444866,873,1005,1208,1444,1620,-2.67,743.62
34023,Middlesex,2010,278877,185748,93129,0.6660570789272691,0.333942921072731,1155,1198,1409,1768,2085,-3.12,639.22
34025,Monmouth,2010,234582,176443,58139,0.7521591596968225,0.2478408403031775,901,1041,1271,1656,1797,-4.2,816.52
34027,Morris,2010,177786,137596,40190,0.7739417051961347,0.2260582948038653,916,1119,1279,1531,1693,-3.43,882.29
34029,Ocean,2010,220972,180097,40875,0.8150218127183535,0.1849781872816465,901,1041,1271,1656,1797,-5.02,737.33
34031,Passaic,2010,161527,87721,73806,0.5430732942480204,0.4569267057519795,1099,1230,1379,1703,1961,-4.02,771.36
34033,Salem,2010,24898,17356,7542,0.6970841031408145,0.3029158968591854,803,915,1095,1339,1615,-6.18,450.59
34035,Somerset,2010,115913,93582,22331,0.8073468894774529,0.192653110522547,1155,1198,1409,1768,2085,-2.69,725.25
34037,Sussex,2010,54881,46489,8392,0.8470873344144604,0.1529126655855396,916,1119,1279,1531,1693,-5.3,689.0
34039,Union,2010,183882,112626,71256,0.6124906189839135,0.3875093810160864,916,1119,1279,1531,1693,-2.6,821.28
34041,Warren,2010,41208,31745,9463,0.7703601242477189,0.2296398757522811,796,891,1042,1247,1284,-6.27,600.26
34001,Atlantic,2011,99762,66755,33007,0.6691425592911129,0.3308574407088872,837,922,1100,1395,1564,-5.32,653.95
34003,Bergen,2011,329544,212148,117396,0.6437622897094166,0.3562377102905834,1195,1307,1494,1884,2281,-3.26,847.96
34005,Burlington,2011,164760,127371,37389,0.7730699198834668,0.2269300801165331,789,900,1077,1317,1589,-5.8,600.57
34007,Camden,2011,185691,125784,59907,0.6773833949949108,0.3226166050050891,789,900,1077,1317,1589,-5.69,490.39
34009,Cape May,2011,41082,30796,10286,0.7496227058078964,0.2503772941921036,739,754,949,1243,1280,-4.29,832.21
34011,Cumberland,2011,49716,34269,15447,0.6892951967173546,0.3107048032826454,799,802,1010,1227,1293,-4.99,505.02
