county_fips,county,year,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_rate,renter_rate
34021,Mercer,2022,144989,92391,52598,0.6372276517528916,0.3627723482471084
34023,Middlesex,2022,306950,199382,107568,0.6495585600260628,0.3504414399739371
34025,Monmouth,2022,253767,193351,60416,0.7619233391260487,0.2380766608739513
34027,Morris,2022,194141,145497,48644,0.7494398401162042,0.2505601598837958
34029,Ocean,2022,241983,195515,46468,0.8079699813623271,0.19203001863767288
34031,Passaic,2022,179292,96083,83209,0.5359023269303705,0.46409767306962946
34033,Salem,2022,25221,18889,6332,0.7489393759168946,0.25106062408310537
34035,Somerset,2022,130178,100332,29846,0.7707293090998479,0.2292706909001521
34037,Sussex,2022,58885,50049,8836,0.8499448076759786,0.1500551923240214
34039,Union,2022,202575,115513,87062,0.5702233740589905,0.4297766259410095
34041,Warren,2022,45507,33959,11548,0.7462368426835432,0.2537631573164568
34001,Atlantic,2023,111158,74940,36218,0.6741754979398694,0.32582450206013064
34003,Bergen,2023,356438,231063,125375,0.6482557976422267,0.3517442023577733
34005,Burlington,2023,179477,137492,41985,0.766070304272971,0.2339296957270291
34007,Camden,2023,201670,134076,67594,0.6648286805176774,0.3351713194823226
34009,Cape May,2023,47516,39371,8145,0.828584055896961,0.17141594410303898
34011,Cumberland,2023,54482,36090,18392,0.6624206159832605,0.3375793840167395
34013,Essex,2023,322456,146736,175720,0.455057434192572,0.544942565807428
34015,Gloucester,2023,113391,89768,23623,0.7916677690469262,0.20833223095307388
34017,Hudson,2023,305743,88102,217641,0.28815704693157324,0.7118429530684267
34019,Hunterdon,2023,51186,43834,7352,0.8563669753448209,0.14363302465517916
34021,Mercer,2023,146258,88183,58075,0.6029277031000013,0.3970722968999986
34023,Middlesex,2023,311100,196353,114747,0.6311571841851494,0.3688428158148505
34025,Monmouth,2023,252995,188381,64614,0.7446036482934445,0.25539635170655545
34027,Morris,2023,193192,144520,48672,0.7480641020332105,0.2519358979667895
34029,Ocean,2023,245827,197440,48387,0.8031664544578098,0.19683354554219024
34031,Passaic,2023,178277,97018,81259,0.5441980737840552,0.45580192621594484
34033,Salem,2023,25207,18245,6962,0.7238068790415361,0.27619312095846393
34035,Somerset,2023,132047,98372,33675,0.7449771672207623,0.2550228327792377
34037,Sussex,2023,58679,49903,8776,0.8504405323880775,0.1495594676119225
34039,Union,2023,206095,121379,84716,0.5889468449016231,0.411053155098377
34041,Warren,2023,45263,34186,11077,0.7552747277025385,0.2447252722974615
