Merge,State,Sub/Urb,HH_Size,Tenure,HH_Income,Supp_Weight,Relationship,Weight,Age,Education,Marital,Person_Income,Year,County
95174,22,2,2,1,39000,211179,1,3291.09,51,39,4,37000,1994,
95175,22,2,10,1,131703,108150,1,2403.09,57,39,1,32337,1994,
95176,22,2,4,1,75484,124369,1,2517.73,37,43,1,30242,1994,
95177,22,2,3,1,54624,114486,1,2334.53,32,39,1,24024,1994,
95178,22,2,4,1,460823,109553,1,2326.51,45,39,1,40000,1994,
95179,22,2,4,1,62016,117276,1,2592.1,50,39,1,42008,1994,
95180,22,2,4,1,50081,123491,1,2478.81,46,43,1,0,1994,
95181,22,2,4,1,185606,143130,1,2627.03,55,46,7,180578,1994,
95182,22,2,5,1,140872,109147,1,2592.1,51,40,1,76150,1994,
95183,22,2,3,1,87400,110636,1,2237.66,40,39,1,42400,1994,
95251,22,2,2,1,70912,128634,1,2403.09,59,37,1,11683,1994,
95252,22,2,4,2,35050,114486,1,2517.73,37,39,1,30025,1994,
95253,22,2,3,1,88634,114314,1,2517.73,37,39,1,85032,1994,
95254,22,2,3,1,70306,117578,1,1944.78,80,45,1,29448,1994,
98557,22,2,4,1,113295,103212,1,2576.89,58,39,1,45295,1994,
98558,22,2,4,1,62299,110636,1,2358.59,37,43,1,1392,1994,
98559,22,2,3,1,190241,101386,1,2297.17,61,43,1,150121,1994,
98560,22,2,4,2,30002,136162,1,2478.81,47,43,3,2,1994,
98561,22,2,5,2,57000,148178,1,2326.51,45,43,1,12000,1994,
98624,22,2,2,2,21048,95773,1,1550.08,80,36,4,9048,1994,
98625,22,2,4,2,13088,129780,1,1878.82,56,37,7,7088,1994,
98626,22,2,5,2,31401,161123,1,2617.84,42,39,7,20001,1994,
98627,22,2,5,2,77000,148701,1,2347.88,30,39,7,55000,1994,
98628,22,2,4,2,40100,145418,1,2155.88,36,40,6,39000,1994,
398,22,4,1,2,13419,289097,2,2833.95,80,39,4,13419,1994,
653,22,4,2,1,94000,205294,1,2230.02,50,39,1,50000,1994,
657,22,4,3,1,8000,116288,1,2401.26,62,39,4,4000,1994,
1028,22,4,2,1,37600,212437,1,1964.29,60,40,1,21600,1994,
1031,22,4,2,1,31000,220323,1,2273.77,60,42,1,22000,1994,
2469,22,4,1,1,25012,221388,2,2079.61,75,39,4,25012,1994,
9725,22,4,1,1,65959,256165,2,2522.24,69,45,5,65959,1994,
10142,22,4,2,1,20756,223703,1,2211.52,75,43,1,21148,1994,
12039,22,4,3,2,10240,133978,1,2577.95,28,39,1,10240,1994,
12040,22,4,2,1,8994,124759,1,2317.13,35,39,5,8994,1994,
14621,22,4,3,1,118220,112160,1,2546.66,38,40,1,42010,1994,
23281,22,4,1,1,2682,150804,2,0.0,61,36,5,2682,1994,
26044,22,4,2,1,17196,222720,1,2065.79,72,40,1,12648,1994,
26252,22,4,2,1,80200,215042,1,2270.02,31,45,1,66600,1994,
29031,22,4,1,2,9744,99562,2,2456.8,66,34,5,9744,1994,
29032,22,4,1,2,6648,99562,2,2456.8,80,34,4,6648,1994,
29270,22,4,4,2,31500,114845,1,2270.02,32,36,1,11000,1994,
29490,22,4,2,2,89700,223637,2,2155.95,23,43,7,32000,1994,
29491,22,4,4,2,85844,105812,1,2397.62,27,43,1,27000,1994,
29492,22,4,4,2,81190,223637,2,2155.95,21,39,7,20010,1994,
35998,22,4,3,2,42000,109069,1,0.0,47,43,3,25000,1994,
36574,22,4,3,1,62242,128866,1,3428.14,25,42,7,22012,1994,
36875,22,4,2,1,23771,119308,1,2310.04,71,39,3,23771,1994,
37739,22,4,2,1,37252,228384,1,2574.54,29,38,1,29212,1994,
38712,22,4,2,1,26948,257746,1,2380.65,73,39,4,16768,1994,
39266,22,4,2,1,38432,145403,1,3054.85,39,39,5,38000,1994,
39267,22,4,1,2,11640,105046,2,2320.29,80,39,5,11640,1994,
39477,22,4,1,2,18688,214054,2,2211.52,76,39,7,18688,1994,
39588,22,4,2,2,116221,206452,1,2230.02,53,40,1,52005,1994,
39775,22,4,1,2,13248,261316,2,2704.69,80,37,7,13248,1994,
39776,22,4,3,2,56000,97783,1,2180.55,42,39,1,20000,1994,
39778,22,4,5,1,90694,101704,1,1751.26,40,43,1,35347,1994,
40330,22,4,5,1,66880,120394,1,2322.5,43,39,1,14880,1994,
40335,22,4,1,2,7992,233924,2,2317.13,37,39,7,7992,1994,
40336,22,4,1,2,9200,140788,2,2950.05,35,39,7,9200,1994,
40337,22,4,2,2,8400,149167,1,2455.39,47,39,1,8400,1994,
40978,22,4,3,1,11800,105268,1,1924.09,43,39,1,2500,1994,
41333,22,4,4,2,90500,138402,1,3285.65,26,43,1,60250,1994,
47059,22,4,1,2,33000,270532,2,2928.26,50,36,3,33000,1994,
47266,22,4,1,2,20448,108861,2,2404.56,80,35,3,20448,1994,
49227,22,4,4,1,53579,93088,1,2739.89,52,39,1,51887,1994,
49470,22,4,3,2,187969,213225,1,2984.73,48,44,1,87646,1994,
49625,22,4,1,2,30520,229461,2,2428.48,41,40,7,30520,1994,
50084,22,4,1,1,29170,209726,2,2065.79,73,39,5,29170,1994,
50557,22,4,1,2,7848,124347,2,2342.73,64,35,3,7848,1994,
56915,22,4,2,1,133050,229333,1,2104.9,50,43,1,67075,1994,
58666,22,4,4,2,93000,265692,1,2687.51,40,42,1,85000,1994,
60281,22,4,4,1,68985,107743,1,0.0,48,39,1,45010,1994,
60825,22,4,1,1,57730,219672,2,2408.84,45,40,5,57730,1994,
61674,22,4,1,2,18216,206274,2,2002.99,58,39,5,18216,1994,
63606,22,4,1,1,600,222720,2,2182.28,75,39,7,600,1994,
63607,22,4,3,1,80480,109896,1,2682.05,42,39,1,32100,1994,
64875,22,4,2,2,58000,251210,2,2635.31,35,39,5,50000,1994,
65384,22,4,5,2,106994,197379,1,1961.01,38,43,1,57011,1994,
65469,22,4,2,1,70000,229312,1,2350.88,45,39,1,30000,1994,
67733,22,4,2,2,2520,128615,2,0.0,49,34,4,2520,1994,
68836,22,4,2,2,15670,97584,1,2011.82,39,40,7,15670,1994,
69152,22,4,1,1,24800,195097,2,2026.87,39,39,6,24800,1994,
69153,22,4,4,1,89025,110107,1,2230.02,50,40,1,35000,1994,
69154,22,4,2,2,42080,223637,2,2031.77,26,43,7,40000,1994,
69314,22,4,2,2,17616,122299,1,2350.88,45,39,5,14616,1994,
69316,22,4,3,1,146297,110215,1,2104.9,53,44,1,103946,1994,
72265,22,4,7,1,29300,114672,1,2282.95,35,35,1,25100,1994,
72637,22,4,1,2,35250,251210,2,2577.95,28,44,7,35250,1994,
72821,22,4,3,2,17500,114688,1,2074.59,29,39,7,17500,1994,
73333,22,4,1,2,17464,259131,2,2646.34,22,40,7,17464,1994,
77334,22,4,1,1,82249,222720,2,2182.28,80,44,4,82249,1994,
83553,22,4,3,1,96005,173704,1,0.0,47,43,1,27003,1994,
83555,22,4,3,2,57005,128798,1,0.0,34,40,1,22805,1994,
83556,22,4,2,1,96450,131451,1,0.0,66,43,1,29799,1994,
83557,22,4,2,1,27296,112272,1,0.0,80,40,1,19048,1994,
83559,22,4,2,1,58325,158832,1,0.0,50,40,7,40270,1994,
83560,22,4,2,1,20648,152136,2,0.0,59,39,5,11600,1994,
83562,22,4,6,1,13520,144242,1,2216.75,39,43,1,13520,1994,
83563,22,4,3,1,34368,140693,1,2208.91,44,43,5,30776,1994,
83564,22,4,2,1,112023,127300,1,2368.65,48,41,6,104023,1994,
83606,22,4,4,1,60040,128862,1,0.0,36,40,1,30020,1994,
83607,22,4,3,1,41028,128672,1,0.0,58,43,1,11765,1994,
83608,22,4,3,1,48000,134021,2,0.0,26,39,7,30000,1994,
83609,22,4,3,1,88500,128798,1,0.0,33,43,1,43000,1994,
88940,22,4,3,1,13425,123016,1,2225.06,30,37,7,6765,1994,
