county_clean,county_fips_full,year,age_group,owner_units_estimated,renter_units_estimated,total_age_group_units,age_group_share_of_total_units,owner_rate_within_age_group,renter_rate_within_age_group
Salem,34033,2005,65-74,2069.0,0.0,2069.0,0.08362636918475405,1.0,0.0
Salem,34033,2005,75-84,2141.0,0.0,2141.0,0.08653651832989774,1.0,0.0
Salem,34033,2005,85+,428.0,0.0,428.0,0.017299219918354147,1.0,0.0
Somerset,34035,2005,15-24,702.0,1292.0,1994.0,0.017558845026021258,0.3520561685055166,0.6479438314944834
Somerset,34035,2005,25-34,9291.0,5451.0,14742.0,0.129815693768107,0.6302401302401303,0.36975986975986974
Somerset,34035,2005,35-44,25892.0,5500.0,31392.0,0.2764329303193878,0.824796126401631,0.175203873598369
Somerset,34035,2005,45-54,23770.0,2773.0,26543.0,0.23373341199883763,0.8955280111517161,0.10447198884828392
Somerset,34035,2005,55-59,8881.0,906.0,9787.0,0.08618275640404717,0.9074282211096353,0.09257177889036478
Somerset,34035,2005,60-64,8494.0,0.0,8494.0,0.07479680524123598,1.0,0.0
Somerset,34035,2005,65-74,8167.0,0.0,8167.0,0.07191729555040903,1.0,0.0
Somerset,34035,2005,75-84,6574.0,0.0,6574.0,0.05788959237766487,1.0,0.0
Somerset,34035,2005,85+,1965.0,0.0,1965.0,0.017303475665061067,1.0,0.0
Sussex,34037,2005,15-24,183.0,426.0,609.0,0.011038007721167963,0.30049261083743845,0.6995073891625616
Sussex,34037,2005,25-34,5222.0,1152.0,6374.0,0.11552752252007323,0.8192657671791653,0.18073423282083464
Sussex,34037,2005,35-44,11648.0,2284.0,13932.0,0.25251481703006906,0.836060867068619,0.163939132931381
Sussex,34037,2005,45-54,12927.0,2482.0,15409.0,0.27928515759520056,0.8389253033941203,0.16107469660587967
Sussex,34037,2005,55-59,5176.0,400.0,5576.0,0.10106392619578417,0.9282639885222381,0.07173601147776183
Sussex,34037,2005,60-64,4102.0,0.0,4102.0,0.07434796005292443,1.0,0.0
Sussex,34037,2005,65-74,4348.0,0.0,4348.0,0.07880666267920904,1.0,0.0
Sussex,34037,2005,75-84,2390.0,0.0,2390.0,0.04331828974317148,1.0,0.0
Sussex,34037,2005,85+,768.0,0.0,768.0,0.013919852101571421,1.0,0.0
Union,34039,2005,15-24,772.0,3922.0,4694.0,0.025723648878220935,0.16446527481891776,0.8355347251810822
Union,34039,2005,25-34,10248.0,14224.0,24472.0,0.13410931728756342,0.41876430205949655,0.5812356979405034
Union,34039,2005,35-44,27283.0,15382.0,42665.0,0.23380900711318625,0.6394702918082737,0.36052970819172625
Union,34039,2005,45-54,28143.0,10741.0,38884.0,0.21308870110369468,0.7237681308507355,0.27623186914926445
Union,34039,2005,55-59,13644.0,5020.0,18664.0,0.10228082289371869,0.7310330047149592,0.2689669952850407
Union,34039,2005,60-64,9859.0,0.0,9859.0,0.05402843082453775,1.0,0.0
Union,34039,2005,65-74,13795.0,0.0,13795.0,0.07559815429805236,1.0,0.0
Union,34039,2005,75-84,11379.0,0.0,11379.0,0.06235820208463486,1.0,0.0
Union,34039,2005,85+,3991.0,0.0,3991.0,0.021871129670426023,1.0,0.0
Warren,34041,2005,15-24,153.0,181.0,334.0,0.007720044378698225,0.45808383233532934,0.5419161676646707
Warren,34041,2005,25-34,3577.0,2418.0,5995.0,0.1385678624260355,0.5966638865721434,0.4033361134278565
Warren,34041,2005,35-44,7083.0,2849.0,9932.0,0.22956730769230768,0.7131494160289972,0.2868505839710028
Warren,34041,2005,45-54,8140.0,2477.0,10617.0,0.24540033284023668,0.7666949232363192,0.2333050767636809
Warren,34041,2005,55-59,2918.0,1048.0,3966.0,0.09166974852071005,0.7357539082198689,0.2642460917801311
Warren,34041,2005,60-64,3175.0,0.0,3175.0,0.07338664940828403,1.0,0.0
Warren,34041,2005,65-74,2700.0,0.0,2700.0,0.06240754437869823,1.0,0.0
Warren,34041,2005,75-84,2586.0,0.0,2586.0,0.059772559171597635,1.0,0.0
Warren,34041,2005,85+,1095.0,0.0,1095.0,0.025309726331360947,1.0,0.0
Atlantic,34001,2006,15-24,276.0,2105.0,2381.0,0.02300394187664245,0.11591768164636708,0.8840823183536329
Atlantic,34001,2006,25-34,7362.0,8260.0,15622.0,0.15093136497140208,0.47125848162847267,0.5287415183715274
Atlantic,34001,2006,35-44,14273.0,7715.0,21988.0,0.21243623434843098,0.6491267964344187,0.3508732035655812
Atlantic,34001,2006,45-54,17375.0,6206.0,23581.0,0.22782694388622662,0.7368220177261354,0.2631779822738646
Atlantic,34001,2006,55-59,7436.0,2200.0,9636.0,0.09309785129077137,0.771689497716895,0.228310502283105
Atlantic,34001,2006,60-64,6480.0,0.0,6480.0,0.06260627608594838,1.0,0.0
Atlantic,34001,2006,65-74,9335.0,0.0,9335.0,0.09018975112072963,1.0,0.0
Atlantic,34001,2006,75-84,6296.0,0.0,6296.0,0.06082856701190292,1.0,0.0
Atlantic,34001,2006,85+,1865.0,0.0,1865.0,0.01801862729942804,1.0,0.0
Bergen,34003,2006,15-24,669.0,4435.0,5104.0,0.015305770551385586,0.13107366771159876,0.8689263322884012
Bergen,34003,2006,25-34,14659.0,21916.0,36575.0,0.10968036009344197,0.4007928913192071,0.5992071086807929
Bergen,34003,2006,35-44,49281.0,27255.0,76536.0,0.22951458756286192,0.6438930699278771,0.3561069300721229
Bergen,34003,2006,45-54,55851.0,21128.0,76979.0,0.23084304687991988,0.7255355356655712,0.2744644643344289
Bergen,34003,2006,55-59,24861.0,7665.0,32526.0,0.09753830191112217,0.7643423722560413,0.23565762774395868
Bergen,34003,2006,60-64,22206.0,0.0,22206.0,0.06659089750471558,1.0,0.0
Bergen,34003,2006,65-74,29594.0,0.0,29594.0,0.08874588042666634,1.0,0.0
Bergen,34003,2006,75-84,21897.0,0.0,21897.0,0.06566427464022143,1.0,0.0
Bergen,34003,2006,85+,7810.0,0.0,7810.0,0.02342046786957708,1.0,0.0
Burlington,34005,2006,15-24,871.0,2834.0,3705.0,0.022698589685466775,0.23508771929824562,0.7649122807017544
Burlington,34005,2006,25-34,14549.0,8600.0,23149.0,0.14182176859078824,0.6284936714328913,0.37150632856710875
Burlington,34005,2006,35-44,27282.0,9734.0,37016.0,0.22677759670640707,0.7370326345364167,0.2629673654635833
Burlington,34005,2006,45-54,31939.0,5247.0,37186.0,0.22781909744771053,0.8588985101920077,0.14110148980799225
Burlington,34005,2006,55-59,12861.0,2186.0,15047.0,0.09218506855525468,0.8547218714693959,0.1452781285306041
